date,open,high,low,close,volume
104,2022-06-14,13.1,13.4,13.45,13.07,154029.0,600238
105,2022-06-15,13.33,13.47,13.73,13.31,210404.0,600238
106,2022-06-16,13.53,13.52,13.75,13.4,153506.0,600238
107,2022-06-17,13.2,13.54,13.65,13.16,169298.0,600238
108,2022-06-20,13.54,13.87,13.98,13.47,243639.0,600238
109,2022-06-21,13.76,13.6,14.08,13.38,192177.0,600238
110,2022-06-22,13.56,13.2,13.67,13.2,135616.0,600238
111,2022-06-23,13.11,13.2,13.29,12.83,156738.0,600238
112,2022-06-24,13.17,13.32,13.44,13.1,144315.0,600238
113,2022-06-27,13.39,13.58,13.79,13.35,228329.0,600238
114,2022-06-28,13.51,13.55,13.73,13.35,157773.0,600238
115,2022-06-29,13.58,13.21,13.76,13.17,197036.0,600238
116,2022-06-30,13.05,13.67,14.15,13.05,278416.0,600238
117,2022-07-01,13.83,13.85,13.99,13.51,245818.0,600238
118,2022-07-04,13.82,14.06,14.24,13.7,227620.0,600238
119,2022-07-05,14.0,13.78,14.05,13.55,186062.0,600238
120,2022-07-06,13.79,13.37,13.81,13.3,141544.0,600238
121,2022-07-07,13.5,13.52,13.63,13.27,110874.0,600238
122,2022-07-08,13.52,13.8,13.81,13.46,161144.0,600238
123,2022-07-11,13.78,13.57,13.78,13.3,117561.0,600238
124,2022-07-12,13.54,13.37,13.67,13.34,88436.0,600238
125,2022-07-13,13.32,13.38,13.48,13.3,81537.0,600238
126,2022-07-14,13.36,13.34,13.44,13.22,89929.0,600238
127,2022-07-15,13.34,13.07,13.43,13.0,114836.0,600238
128,2022-07-18,13.01,13.19,13.25,13.0,65540.0,600238
129,2022-07-19,13.14,13.24,13.42,13.11,74739.0,600238
130,2022-07-20,13.33,13.26,13.39,13.21,73529.0,600238
131,2022-07-21,13.3,13.78,14.1,13.26,272911.0,600238
132,2022-07-22,13.8,13.57,13.88,13.45,145811.0,600238
133,2022-07-25,13.57,14.64,14.93,13.41,587259.0,600238
134,2022-07-26,14.3,14.21,14.6,14.02,409816.0,600238
135,2022-07-27,14.13,14.0,14.49,13.95,243191.0,600238
136,2022-07-28,14.09,14.06,14.48,14.0,231748.0,600238
137,2022-07-29,14.0,13.67,14.12,13.6,202783.0,600238
138,2022-08-01,13.65,13.71,13.81,13.46,130256.0,600238
139,2022-08-02,13.5,12.72,13.51,12.7,244070.0,600238
140,2022-08-03,12.59,12.35,12.94,12.35,166162.0,600238
141,2022-08-04,12.36,12.68,12.8,12.18,184950.0,600238
142,2022-08-05,12.59,12.64,12.73,12.47,117816.0,600238
143,2022-08-08,12.45,12.84,13.2,12.32,151365.0,600238
144,2022-08-09,12.6,12.65,12.89,12.52,99643.0,600238
145,2022-08-10,12.6,12.62,12.75,12.55,71860.0,600238
146,2022-08-11,12.62,12.78,12.83,12.61,97217.0,600238
147,2022-08-12,12.73,12.98,13.09,12.7,129035.0,600238
148,2022-08-15,12.93,12.89,12.96,12.77,82334.0,600238
149,2022-08-16,12.81,12.85,13.05,12.81,76543.0,600238
150,2022-08-17,12.85,12.87,13.02,12.7,92155.0,600238
151,2022-08-18,12.7,12.47,12.74,12.44,135157.0,600238
152,2022-08-19,12.49,12.41,12.61,12.4,73527.0,600238
153,2022-08-22,12.46,12.54,12.63,12.33,61546.0,600238
154,2022-08-23,12.5,12.56,12.62,12.4,63353.0,600238
155,2022-08-24,12.53,12.5,12.78,12.46,102531.0,600238
156,2022-08-25,12.5,12.65,12.7,12.41,103856.0,600238
157,2022-08-26,12.66,12.7,12.96,12.61,119661.0,600238
158,2022-08-29,12.59,12.54,12.7,12.2,79793.0,600238
159,2022-08-30,12.5,12.35,12.54,12.3,69179.0,600238
160,2022-08-31,12.35,12.55,12.64,12.3,93482.0,600238
161,2022-09-01,12.5,12.37,12.55,12.35,62673.0,600238
162,2022-09-02,12.37,12.26,12.43,12.18,59430.0,600238
163,2022-09-05,12.19,11.96,12.24,11.81,76724.0,600238
164,2022-09-06,11.96,12.12,12.13,11.89,61203.0,600238
165,2022-09-07,12.11,12.01,12.11,11.97,53232.0,600238
166,2022-09-08,12.02,11.98,12.19,11.95,63770.0,600238
167,2022-09-09,11.95,11.98,12.07,11.86,44779.0,600238
168,2022-09-13,11.97,12.08,12.18,11.97,59808.0,600238
169,2022-09-14,11.97,11.83,11.97,11.8,58304.0,600238
170,2022-09-15,11.87,11.57,11.95,11.55,71990.0,600238
171,2022-09-16,11.46,11.04,11.64,11.02,89292.0,600238
172,2022-09-19,11.03,11.1,11.27,10.61,75734.0,600238
173,2022-09-20,11.12,11.26,11.34,11.06,62329.0,600238
174,2022-09-21,11.2,11.15,11.26,11.01,49388.0,600238
175,2022-09-22,11.14,10.96,11.22,10.95,49498.0,600238
176,2022-09-23,10.91,10.91,11.17,10.82,70415.0,600238
177,2022-09-26,10.7,10.59,10.98,10.53,70466.0,600238
178,2022-09-27,10.58,11.01,11.03,10.51,102380.0,600238
179,2022-09-28,10.96,10.68,11.16,10.68,82478.0,600238
180,2022-09-29,10.8,10.25,10.9,10.19,112348.0,600238
181,2022-09-30,10.23,10.1,10.42,10.09,67046.0,600238
182,2022-10-10,9.9,9.37,9.9,9.31,136233.0,600238
183,2022-10-11,9.36,9.42,9.43,9.11,93074.0,600238
184,2022-10-12,9.34,9.52,9.54,9.12,81009.0,600238
185,2022-10-13,9.48,9.58,9.75,9.41,83665.0,600238
186,2022-10-14,9.72,9.83,10.0,9.62,95863.0,600238
187,2022-10-17,9.83,9.84,9.95,9.73,66955.0,600238
188,2022-10-18,9.85,9.71,9.95,9.7,66338.0,600238
189,2022-10-19,9.75,9.52,9.78,9.52,65023.0,600238
190,2022-10-20,9.55,9.63,9.81,9.41,81149.0,600238
191,2022-10-21,9.66,9.42,9.69,9.38,59253.0,600238
192,2022-10-24,9.43,9.08,9.51,9.06,85804.0,600238
193,2022-10-25,9.08,9.13,9.16,8.83,78878.0,600238
194,2022-10-26,9.12,9.33,9.42,9.12,80636.0,600238
195,2022-10-27,9.32,9.11,9.41,9.11,75947.0,600238
196,2022-10-28,8.95,8.68,9.05,8.67,102059.0,600238
197,2022-10-31,8.77,8.84,8.88,8.64,69996.0,600238
198,2022-11-01,8.99,9.72,9.72,8.91,222212.0,600238
199,2022-11-02,9.72,9.89,10.09,9.72,355962.0,600238
200,2022-11-03,9.85,9.93,9.97,9.73,177782.0,600238
201,2022-11-04,9.93,10.13,10.41,9.85,244737.0,600238
202,2022-11-07,10.06,10.33,10.37,9.96,199637.0,600238
203,2022-11-08,10.33,10.17,10.46,10.08,136185.0,600238
204,2022-11-09,10.2,10.22,10.3,10.06,95645.0,600238
205,2022-11-10,10.17,10.32,10.4,10.09,124084.0,600238
206,2022-11-11,10.39,10.18,10.55,10.15,176860.0,600238
207,2022-11-14,10.08,10.02,10.28,9.99,106138.0,600238
208,2022-11-15,10.08,10.34,10.34,9.98,125910.0,600238
209,2022-11-16,10.35,10.53,10.9,10.29,225763.0,600238
210,2022-11-17,10.52,10.43,10.75,10.32,155542.0,600238
211,2022-11-18,10.55,10.25,10.56,10.24,106369.0,600238
212,2022-11-21,10.0,10.08,10.15,9.92,97865.0,600238
213,2022-11-22,10.16,10.17,10.48,10.08,156937.0,600238
214,2022-11-23,10.1,9.99,10.15,9.89,95896.0,600238
215,2022-11-24,10.0,9.86,10.12,9.86,73719.0,600238
216,2022-11-25,9.86,10.02,10.03,9.79,75158.0,600238
217,2022-11-28,10.4,11.02,11.02,10.37,397870.0,600238
218,2022-11-29,11.31,11.83,12.12,11.1,673273.0,600238
219,2022-11-30,11.59,11.2,11.63,11.03,483303.0,600238
220,2022-12-01,11.39,11.24,11.65,11.24,421275.0,600238
